Name of the hardware,Manufacturer,FP64 (double precision) Performance (FLOP/s),FP32 (single precision) Performance (FLOP/s),FP16 (half precision) Performance (FLOP/s),INT16 Performance (OP/s),INT8 Performance (OP/s),Memory size per board (Byte),Memory Bandwidth (Byte/s),LambdaLabs FP32 ResNet-50 Pytorch Throughput (samples/s),Release date,Release year,Release price (USD),Prominent Years of usage,Link to datasheet,Source for the Price
NVIDIA GTX 580,NVIDIA,1.98E+11,1.58E+12,,,,3.00E+09,1.92E+11,,01/11/2010,2010,$499.00,,https://www.wikiwand.com/en/List_of_Nvidia_graphics_processing_units,https://technical.city/en/video/GeForce-GTX-580
NVIDIA K40,NVIDIA,1.43E+12,4.29E+12,,,,1.20E+10,2.88E+11,,01/10/2013,2013,"$7,699.00",2015-2017,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/tesla-product-literature/TeslaK80-datasheet.pdf,"https://www.techpowerup.com/gpu-specs/tesla-k40c.c2505,https://www.techpowerup.com/gpu-specs/tesla-k40s.c2528"
NVIDIA Quadro K6000,NVIDIA,1.73E+12,5.20E+12,,,,1.20E+10,2.88E+11,,01/07/2013,2013,"$5,265.00",,https://www.wikiwand.com/en/Quadro; https://www.techpowerup.com/gpu-specs/quadro-k6000.c2426,https://technical.city/en/video/Quadro-K6000
NVIDIA GTX Titan Black,NVIDIA GTX Titan Black,1.71E+12,5.12E+12,,,,6.00E+09,3.36E+11,,01/02/2014,2014,$999.00,,https://www.wikiwand.com/en/List_of_Nvidia_graphics_processing_units,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-black.c2549
NVIDIA K80,NVIDIA,1.87E+12,5.60E+12,,,,2.40E+10,2.41E+11,,01/11/2014,2014,"$5,000.00",2015-2017,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/tesla-product-literature/TeslaK80-datasheet.pdf,
NVIDIA Titan X,NVIDIA,3.17E+11,1.02E+13,1.59E+11,,,1.10E+10,3.37E+11,,01/08/2016,2016,"$1,200.00",,https://www.wikiwand.com/en/GeForce_10_series,"https://arstechnica.com/gadgets/2016/07/gtx-titan-x-pascal-specs-price-release-date/#:~:text=Surprise!%20%E2%80%94-,Nvidia%20unveils%20new%20GTX%20Titan%20X,teraflops%2C%2012GB%20GDDR5X%2C%20just%20%241%2C200,

https://www.extremetech.com/gaming/232924-nvidia-titan-x-offers-incredible-performance-at-a-significant-cost"
NVIDIA Titan Xp,NVIDIA,3.37E+11,1.08E+13,1.69E+11,,,1.20E+10,5.48E+11,,01/04/2017,2017,"$1,199.00",,https://www.wikiwand.com/en/GeForce_10_series,https://technical.city/en/video/TITAN-Xp
NVIDIA Titan V,NVIDIA,6.14E+12,1.23E+13,2.46E+13,,,1.20E+10,6.51E+11,,01/12/2017,2017,"$2,999.00",,https://www.wikiwand.com/en/Volta_(microarchitecture),https://www.techpowerup.com/gpu-specs/titan-v.c3051
NVIDIA V100 (NVLink),NVIDIA,7.45E+12,1.49E+13,2.80E+13,,,3.20E+10,8.97E+11,3.68E+02,01/06/2017,2017,"$18,750.00",,https://en.wikipedia.org/wiki/Nvidia_Tesla?oldformat=true,https://arstechnica.com/gadgets/2017/05/nvidia-tesla-v100-gpu-details/
NVIDIA Tesla V100 SMX2,NVIDIA,7.50E+12,1.50E+13,1.20E+14,,,1.60E+10,8.97E+11,,01/07/2017,2017,,2017-21 (though discontinued in 2020),https://images.nvidia.com/content/technologies/volta/pdf/437317-Volta-V100-DS-NV-US-WEB.pdf,
Google TPU V2,Google,,3.00E+12,1.80E+14,,,1.60E+10,6.00E+11,,01/05/2017,2017,,2017-21,https://cloud.google.com/tpu,
